ORDER_ID|CUSTOMER_ID|PRODUCT_ID|ORDER_DATE|SHIP_DATE|QUANTITY|UNIT_PRICE|DISCOUNT|TAX|NET_AMOUNT|STATUS|PAYMENT_MODE|CITY|STATE|COUNTRY
1|10246|32|2026-07-01|2026-07-03|7|328.87|45.64|59.2|2302.09|SHIPPED|CARD|Hyderabad|TS|India
2|10470|17|2026-07-01|2026-07-03|8|337.06|33.34|60.67|2696.48|SHIPPED|UPI|Pune|TS|India
3|10452|23|2026-07-01|2026-07-03|9|121.09|49.38|21.8|1089.81|SHIPPED|UPI|Chennai|TS|India
4|10467|20|2026-07-01|2026-07-03|7|360.64|9.96|64.92|2524.48|SHIPPED|UPI|Pune|TS|India
5|10585|23|2026-07-01|2026-07-03|2|156.74|28.74|28.21|413.48|SHIPPED|CASH|Pune|TS|India
6|10674|26|2026-07-01|2026-07-03|1|490.08|13.72|88.21|490.08|SHIPPED|CASH|Chennai|TS|India
7|10763|32|2026-07-01|2026-07-03|1|459.78|41.64|82.76|459.78|SHIPPED|UPI|Hyderabad|TS|India
8|10224|41|2026-07-01|2026-07-03|10|410.87|9.51|73.96|4108.7|SHIPPED|UPI|Chennai|TS|India
9|10925|41|2026-07-01|2026-07-03|3|332.71|32.32|59.89|998.13|SHIPPED|UPI|Pune|TS|India
10|10749|9|2026-07-01|2026-07-03|1|310.81|4.51|55.95|310.81|SHIPPED|UPI|Pune|TS|India
11|10135|35|2026-07-01|2026-07-03|7|129.04|43.82|23.23|903.28|SHIPPED|UPI|Chennai|TS|India
12|10850|11|2026-07-01|2026-07-03|9|461.07|12.85|82.99|4149.63|SHIPPED|UPI|Pune|TS|India
13|10479|5|2026-07-01|2026-07-03|6|411.9|7.04|74.14|2471.4|SHIPPED|CARD|Chennai|TS|India
14|10823|36|2026-07-01|2026-07-03|7|485.27|18.29|87.35|3396.89|SHIPPED|UPI|Hyderabad|TS|India
15|10465|24|2026-07-01|2026-07-03|5|291.46|33.64|52.46|1557.3|SHIPPED|CASH|Pune|TS|India
16|10653|24|2026-07-01|2026-07-03|10|221.46|5.42|39.86|2214.6|SHIPPED|CARD|Pune|TS|India
17|10965|36|2026-07-01|2026-07-03|1|328.8|16.4|59.18|328.8|SHIPPED|CASH|Hyderabad|TS|India
18|10475|45|2026-07-01|2026-07-03|2|335.93|15.11|60.47|671.86|SHIPPED|UPI|Hyderabad|TS|India
